project_name,average_cbo,average_dit,average_lcom,sum_loc,stars,releases,age
small-spring,3.255434782608696,1.252717391304348,0.1649314541304347,9415,4651,0,3.36
liquibase,6.712258796821794,1.796821793416572,0.2953545357718501,95507,4639,98,13.21
FirebaseUI-Android,10.114186851211072,1.9896193771626296,0.3252982924083045,13829,4629,65,9.21
PageIndicatorView,5.513888888888889,1.5,0.2829167693055555,3532,4622,14,8.09
wgcloud,6.050847457627119,1.194915254237288,0.5231894999152542,6105,4609,24,5.69
OsmAnd,8.506424161521775,1.6934757216752878,0.3461107930909394,664588,4603,1,13.68
JAViewer,5.787709497206704,1.5977653631284916,0.2076730711731843,6309,4602,10,8.34
react-native-webrtc,6.08955223880597,1.1492537313432836,0.2143840282089552,4045,4593,79,8.99
MifareClassicTool,11.090909090909092,2.272727272727273,0.4452193627272727,6633,4584,8,11.61
mockserver,7.27141568981064,1.6248872858431018,0.2509111031987375,65134,4581,0,11.57
megabasterd,2.7611940298507465,1.4875621890547264,0.2196070828855721,20673,4580,208,7.98
SimplifyReader,4.555379746835443,1.3876582278481011,0.2083376596518987,34709,4575,0,9.1
